^IXIC,
BBC,
BBP,
BSTC,246160000.0
BSTG,21310000.0
BSPM,2880000.0
BOTA,
TECH,3890000000.0
BEAT,435150000.0
BITI,324030000.0
BDMS,24550000.0
BJRI,1040000000.0
BBOX,189230000.0
BDE,129250000.0
BLKB,2730000000.0
BBRY,3550000000.0
HAWK,1820000000.0
BKCC,
ADRA,
ADRD,
ADRE,
ADRU,
BLMN,2180000000.0
BCOR,349910000.0
BLBD,208810000.0
BUFF,5110000000.0
BHBK,379290000.0
NILE,293220000.0
BLUE,1500000000.0
BKEP,173980000.0
BKEPP,219470000.0
BPMC,489080000.0
ITEQ,
STCK,1180000000.0
BNCN,934370000.0
BOBE,921290000.0
BOFI,1110000000.0
BOFIL,
WIFI,262090000.0
BOJA,607750000.0
BOKF,4020000000.0
BONA,
BNSO,7260000.0
BPFH,1010000000.0
BPFHP,2140000000.0
BPFHW,
EPAY,924650000.0
BLVD,105250000.0
BLVDU,
BCLI,41230000.0
BBRG,100950000.0
BBEP,15820000.0
BBEPP,68460000.0
BDGE,498770000.0
BRID,116020000.0
BCOV,205450000.0
BSFT,1200000000.0
BVSN,32990000.0
BYFC,54950000.0
BWEN,52510000.0
BRCD,3190000000.0
BRKL,795850000.0
BRKS,665440000.0
BRKR,4250000000.0
BMTC,486230000.0
BLMT,187590000.0
BSQR,62810000.0
BWLD,2640000000.0
BLDR,1280000000.0
BUR,79250000.0
CFFI,137690000.0
CHRW,10610000000.0
CCMP,979760000.0
CDNS,7390000000.0
CDZI,104090000.0
CACQ,1200000000.0
CZR,997770000.0
CSTE,1420000000.0
PRSS,52330000.0
CLBS,33650000.0
CLMS,152740000.0
CHY,
CHI,
CCD,
CFGE,
CHW,
CGO,
CSQ,
CAMP,532980000.0
CVGW,978980000.0
CFNB,153670000.0
CALA,83210000.0
CALD,991710000.0
CALM,2210000000.0
CLMT,276110000.0
ABCD,206740000.0
CAC,437790000.0
CAMT,67510000.0
CSIQ,1030000000.0
CGIX,28400000.0
CPHC,44280000.0
CBNJ,
CPLA,605170000.0
CBF,1290000000.0
CCBG,263140000.0
CPLP,314440000.0
CSWC,214580000.0
CPTA,
CLAC,93120000.0
CLACU,
CFFN,1780000000.0
CAPN,19720000.0
CAPNW,
CAPR,58760000.0
CPST,30330000.0
CARA,158240000.0
CARB,243860000.0
CBYL,24780000.0
CRDC,23670000.0
CFNL,706970000.0
CRME,103820000.0
CSII,499570000.0
CATM,1680000000.0
CDNA,50020000.0
CECO,393680000.0
CTRE,754040000.0
CKEC,731650000.0
CLBH,79330000.0
CARO,222170000.0
CART,27890000.0
CRZO,2210000000.0
TAST,438210000.0
CRTN,12270000.0
CARV,14510000.0
CASM,49040000.0
CACB,404000000.0
CSCD,326180000.0
CWST,288620000.0
CASY,4550000000.0
CASI,50250000.0
CASS,534110000.0
CATB,85480000.0
CBIO,16340000.0
CPRX,49720000.0
CATY,2370000000.0
CVCO,839960000.0
CAVM,2710000000.0
CBFV,86070000.0
CNLM,18840000.0
CBOE,5190000000.0
CDK,8220000000.0
CDW,7070000000.0
CECE,264350000.0
CPXX,717740000.0
CELGZ,
CLDX,397830000.0
CLRB,2960000.0
CLRBW,
CLLS,1080000000.0
CBMG,218650000.0
CLSN,33260000.0
CYAD,448890000.0
CEMP,759630000.0
CETX,17740000.0
CSFL,747190000.0
CETV,319360000.0
CFBK,21630000.0
CENT,914990000.0
CENTA,887280000.0
CVCY,151290000.0
CFCB,110650000.0
CENX,553700000.0
CNBKA,236040000.0
CNTY,143170000.0
CPHD,1960000000.0
CRNT,115640000.0
CERC,27770000.0
CERE,3910000.0
CERU,62930000.0
CERS,528890000.0
KOOL,9420000.0
CEVA,535530000.0
CSBR,33500000.0
CYOU,929370000.0
HOTR,12380000.0
HOTRW,
CTHR,21720000.0
GTLS,748590000.0
CHFN,188040000.0
CHEK,24330000.0
CEMI,87820000.0
CHFC,1460000000.0
CCXI,189560000.0
CHMG,144540000.0
CHKE,125130000.0
CHEV,99770000.0
CHMA,69500000.0
CBNK,87000000.0
PLCE,1430000000.0
CMRX,217660000.0
CADC,5950000.0
CALI,4370000.0
CAAS,127520000.0
CBAK,43840000.0
CBPO,3020000000.0
CCCL,6560000.0
CCCR,5090000.0
